Institution ID,Institution Name,SuspExplFg,SuspExplRaceEthnicityFg,DisPrptnRprsntnFg,DisPrptnRprsntnDsbltyFg
2113,Adrian SD 61,No ,No ,No ,No 
2114,Harper SD 66,No ,No ,No ,No 
2115,Arock SD 81,No ,No ,No ,No 
2116,Vale SD 84,No ,No ,No ,No 
2137,Gervais SD 1,No ,No ,No ,No 
2138,Silver Falls SD 4J,No ,No ,No ,No 
2139,Cascade SD 5,No ,No ,No ,No 
2140,Jefferson SD 14J,No ,No ,No ,No 
2141,North Marion SD 15,No ,No ,No ,No 
2142,Salem-Keizer SD 24J,No ,No ,No ,No 
2143,North Santiam SD 29J,Yes,No ,No ,No 
2144,St Paul SD 45,No ,No ,No ,No 
2145,Mt Angel SD 91,No ,No ,No ,No 
2146,Woodburn SD 103,No ,No ,No ,No 
2147,Morrow SD 1,No ,No ,No ,No 
2180,Portland SD 1J,Yes,No ,No ,No 
2181,Parkrose SD 3,No ,No ,No ,No 
2182,Reynolds SD 7,No ,No ,No ,No 
2183,Gresham-Barlow SD 10J,Yes,No ,No ,No 
2185,Centennial SD 28J,No ,No ,No ,No 
2186,Corbett SD 39,No ,No ,No ,No 
2187,David Douglas SD 40,Yes,No ,No ,No 
2188,Riverdale SD 51J,No ,No ,No ,No 
2190,Dallas SD 2,Yes,No ,No ,No 
2191,Central SD 13J,No ,No ,No ,No 
2192,Perrydale SD 21,No ,No ,No ,No 
2193,Falls City SD 57,No ,No ,No ,No 
2195,Sherman County SD,No ,No ,No ,No 
2197,Tillamook SD 9,No ,No ,No ,No 
2198,Neah-Kah-Nie SD 56,No ,No ,No ,No 
2199,Nestucca Valley SD 101J,No ,No ,No ,No 
2201,Helix SD 1,No ,No ,No ,No 
2202,Pilot Rock SD 2,No ,No ,No ,No 
2203,Echo SD 5,No ,No ,No ,No 
2204,Umatilla SD 6R,No ,No ,No ,No 
2205,Milton-Freewater Unified SD 7,No ,No ,No ,No 
2206,Hermiston SD 8,Yes,No ,No ,No 
2207,Pendleton SD 16,Yes,No ,No ,No 
2208,Athena-Weston SD 29RJ,No ,No ,No ,No 
2209,Stanfield SD 61,No ,No ,No ,No 
2210,Ukiah SD 80R,No ,No ,No ,No 
2212,La Grande SD 1,Yes,No ,No ,No 
2213,Union SD 5,No ,No ,No ,No 
2214,North Powder SD 8J,No ,No ,No ,No 
2215,Imbler SD 11,No ,No ,No ,No 
2216,Cove SD 15,No ,No ,No ,No 
2217,Elgin SD 23,No ,No ,No ,No 
2219,Joseph SD 6,No ,No ,No ,No 
2220,Wallowa SD 12,No ,No ,No ,No 
2221,Enterprise SD 21,No ,No ,No ,No 
2222,Troy SD 54,No ,No ,No ,No 
2225,South Wasco County SD 1,No ,No ,No ,No 
2229,Dufur SD 29,No ,No ,No ,No 
2239,Hillsboro SD 1J,No ,No ,No ,No 
2240,Banks SD 13,No ,No ,No ,No 
2241,Forest Grove SD 15,No ,No ,No ,No 
2242,Tigard-Tualatin SD 23J,Yes,No ,No ,No 
2243,Beaverton SD 48J,No ,No ,No ,No 
2244,Sherwood SD 88J,No ,No ,No ,No 
2245,Gaston SD 511J,No ,No ,No ,No 
2247,Spray SD 1,No ,No ,No ,No 
2248,Fossil SD 21J,No ,No ,No ,No 
2249,Mitchell SD 55,No ,No ,No ,No 
2251,Yamhill Carlton SD 1,No ,No ,No ,No 
2252,Amity SD 4J,No ,No ,No ,No 
2253,Dayton SD 8,No ,No ,No ,No 
2254,Newberg SD 29J,No ,No ,No ,No 
2255,Willamina SD 30J,Yes,No ,No ,No 
2256,McMinnville SD 40,Yes,No ,No ,No 
2257,Sheridan SD 48J,No ,No ,No ,No 
2262,Knappa SD 4,No ,No ,No ,No 
3997,Ione SD R2,No ,No ,No ,No 
4131,North Wasco County SD 21,No ,No ,No ,No 
