District ID,District Name,County,Superintendent,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Mobile Students,Administrators,Teachers,Educational Assistants,Counselors,Licensed Librarians,Psychologists,Social Workers,Experienced Teachers,Regular Attenders,Regular Attenders Change from Last Year,Regular Attenders Change Value,Oregon Regular Attenders Average,Grade 3 ELA,Grade 3 ELA Change from Last Year,Grade 3 ELA Change Value,Oregon Grade 3 ELA Average,Grade 8 Mathematics,Grade 8 Mathematics Change from Last Year,Grade 8 Mathematics Change Value,Oregon Grade 8 Math Average,On-Track to Graduate,On-Track to Graduate Change from Last Year,On-Track to Graduate Change Value,Oregon On-Track to Graduate Average,On-Time Graduation 2021-22,On-Time Graduation Change from Last Year,On-Time Graduation Change Value,Oregon On-Time Graduation 2021-22 Average,Five-Year Completion 2021-22,Five-Year Completion Change from Last Year,Five-Year Completion Change Value,Oregon Five-Year Completion 2021-22 Average
2014,Harney County SD 3,Harney,Robert Medley,705,*,12,14%,47%,16%,5,51,18,2,0,0,0,67%,60%,Increase,1%,62%,35%,Increase,7%,40%,10%,Decrease,15%,26%,43%,Decrease,30%,84%,64%,Decrease,22%,81%,90%,Increase,2%,87%
2015,Harney County SD 4,Harney,Matthew Hawley,920,*,2,11%,17%,17%,4,44,14,2,0,0,0,84%,73%,Decrease,15%,62%,30%,Decrease,9%,40%,45%,Increase,35%,26%,77%,Increase,8%,84%,85%,Increase,29%,81%,65%,Decrease,8%,87%
2023,Harney County Union High SD 1J,Harney,Matthew Hawley,979,*,3,11%,10%,33%,2,39,<1,0,0,0,0,88%,43%,Decrease,47%,62%,56%,Increase,1%,40%,34%,Increase,3%,26%,76%,Decrease,12%,84%,91%,Decrease,6%,81%,97%,Increase,6%,87%
2114,Harper SD 66,Malheur,Ron Talbot,258,6%,2,14%,>95%,25%,1,12,6,0,0,0,0,73%,87%,Increase,7%,62%,67%,Increase,3%,40%,27%,Increase,2%,26%,>95%,Increase,>2%,84%,96%,Increase,2%,81%,100%,No Change,,87%
2099,Harrisburg SD 7J,Linn,Bryan Starr,778,5%,6,16%,44%,14%,4,48,22,4,0,<1,0,75%,62%,Decrease,3%,62%,24%,Decrease,26%,40%,15%,Increase,3%,26%,69%,Decrease,2%,84%,95%,Increase,9%,81%,92%,Decrease,4%,87%
2201,Helix SD 1,Umatilla,Brad Bixler,147,*,1,12%,28%,*,1,17,3,<1,0,<1,0,78%,74%,Increase,6%,62%,70%,Increase,20%,40%,22%,Decrease,2%,26%,>95%,No Change,,84%,100%,No Change,,81%,100%,Increase,10%,87%
2206,Hermiston SD 8,Umatilla,Tricia Mooney,5380,39%,30,13%,84%,14%,18,316,115,15,1,2,3,65%,60%,Increase,1%,62%,32%,Decrease,1%,40%,14%,Decrease,9%,26%,79%,Decrease,10%,84%,80%,Decrease,8%,81%,94%,Increase,2%,87%
2239,Hillsboro SD 1J,Washington,Travis Reiman,18767,34%,158,15%,65%,13%,60,1025,428,71,1,11,11,78%,65%,Decrease,4%,62%,37%,Increase,1%,40%,22%,Decrease,2%,26%,90%,Decrease,2%,84%,86%,Increase,3%,81%,88%,Decrease,4%,87%
2024,Hood River County SD,Hood River,Bill Newton,3814,37%,9,15%,63%,12%,20,243,98,19,<1,3,0,83%,65%,Decrease,5%,62%,45%,Increase,2%,40%,27%,Decrease,1%,26%,89%,Decrease,1%,84%,90%,Decrease,1%,81%,93%,Decrease,1%,87%
1895,Huntington SD 16J,Baker,Scott Bullock,86,*,1,13%,>95%,29%,1,10,2,0,0,0,0,80%,71%,Increase,8%,62%,*,Unavailable,,40%,*,Unavailable,,26%,38%,Increase,3%,84%,100%,Increase,40%,81%,60%,Decrease,20%,87%
2215,Imbler SD 11,Union,Randy Waite,293,*,4,12%,22%,7%,2,22,3,0,0,0,0,86%,73%,Decrease,5%,62%,62%,Increase,18%,40%,43%,Increase,11%,26%,86%,Decrease,>9%,84%,100%,No Change,,81%,100%,Increase,8%,87%
3997,Ione SD R2,Morrow,Tracey Johnson,138,19%,5,16%,54%,*,2,12,3,1,0,0,0,75%,72%,Increase,2%,62%,*,Unavailable,,40%,27%,Increase,>22%,26%,>95%,Unavailable,,84%,85%,Decrease,15%,81%,100%,Increase,6%,87%
2053,Jefferson County SD 509J,Jefferson,Jay Mathisen,2720,34%,6,18%,>95%,16%,16,190,89,9,0,0,0,58%,56%,Increase,10%,62%,21%,Decrease,7%,40%,15%,Decrease,5%,26%,82%,No Change,,84%,89%,Increase,4%,81%,90%,Increase,3%,87%
2140,Jefferson SD 14J,Marion,Brad Capener,734,18%,4,16%,37%,15%,6,52,19,2,1,0,0,63%,55%,Decrease,7%,62%,20%,Decrease,12%,40%,6%,Increase,>1%,26%,86%,Decrease,2%,84%,75%,Decrease,13%,81%,94%,Increase,1%,87%
1934,Jewell SD 8,Clatsop,Cory Pederson,124,*,2,20%,46%,20%,2,15,6,1,0,<1,0,88%,55%,Decrease,13%,62%,*,Unavailable,,40%,*,Unavailable,,26%,*,Unavailable,,84%,80%,Decrease,20%,81%,100%,No Change,,87%
2008,John Day SD 3,Grant,Mark Witty,467,*,3,19%,50%,13%,5,40,10,0,0,0,0,49%,70%,Decrease,2%,62%,50%,Decrease,4%,40%,31%,Increase,13%,26%,91%,Increase,1%,84%,81%,Decrease,10%,81%,94%,Increase,5%,87%
2107,Jordan Valley SD 3,Malheur,Tyler Johnson,62,*,1,*,79%,14%,<1,9,3,0,0,0,0,78%,77%,Increase,2%,62%,*,Unavailable,,40%,*,Unavailable,,26%,*,Unavailable,,84%,100%,No Change,,81%,100%,No Change,,87%
2219,Joseph SD 6,Wallowa,Lance Homan,260,*,2,15%,53%,11%,2,23,6,1,<1,0,0,92%,65%,Decrease,18%,62%,67%,Increase,4%,40%,27%,Increase,6%,26%,>95%,No Change,,84%,96%,Increase,4%,81%,96%,Decrease,4%,87%
2091,Junction City SD 69,Lane,Troy Stoops,1617,7%,4,17%,43%,15%,9,96,46,6,0,1,0,74%,57%,Decrease,12%,62%,32%,Decrease,12%,40%,21%,Decrease,5%,26%,89%,Increase,11%,84%,78%,Decrease,5%,81%,86%,Increase,2%,87%
2109,Juntura SD 12,Malheur,Mark Redmond,5,*,1,*,*,*,0,1,1,0,0,0,0,0%,*,Unavailable,,62%,*,Unavailable,,40%,*,Unavailable,,26%,*,Unavailable,,84%,*,Unavailable,,81%,*,Unavailable,,87%
2057,Klamath County SD,Klamath,Glen Syzmoniak,7050,9%,19,17%,>95%,16%,39,401,124,16,4,0,0,72%,68%,Decrease,1%,62%,37%,Increase,1%,40%,13%,Decrease,1%,26%,83%,Increase,3%,84%,80%,Increase,2%,81%,86%,Decrease,5%,87%
2056,Klamath Falls City Schools,Klamath,Keith Brown,2591,8%,15,18%,>95%,14%,11,157,73,3,0,0,1,77%,59%,Increase,8%,62%,29%,Increase,5%,40%,26%,Increase,3%,26%,71%,Increase,11%,84%,73%,Decrease,1%,81%,82%,Decrease,1%,87%
2262,Knappa SD 4,Clatsop,William Fritz,450,*,5,22%,30%,9%,4,34,16,2,0,0,0,65%,68%,Increase,13%,62%,29%,Increase,20%,40%,8%,Increase,1%,26%,80%,Increase,18%,84%,83%,No Change,,81%,83%,Decrease,10%,87%
2212,La Grande SD 1,Union,George Mendoza,2010,6%,23,20%,>95%,14%,11,125,48,7,1,2,0,72%,66%,Decrease,1%,62%,40%,Increase,6%,40%,30%,Increase,7%,26%,85%,Increase,24%,84%,69%,Decrease,17%,81%,90%,Decrease,3%,87%
2059,Lake County SD 7,Lake,Michael Carter,741,11%,3,16%,56%,13%,6,51,22,1,1,0,2,56%,60%,Increase,5%,62%,33%,Decrease,20%,40%,32%,Increase,3%,26%,71%,Decrease,11%,84%,95%,Increase,6%,81%,94%,No Change,,87%
1923,Lake Oswego SD 7J,Clackamas,Jennifer Schiele,6886,6%,57,12%,8%,7%,25,390,181,20,2,8,5,88%,77%,Decrease,2%,62%,76%,No Change,,40%,58%,Decrease,5%,26%,>95%,No Change,,84%,95%,Decrease,2%,81%,98%,No Change,,87%
2101,Lebanon Community SD 9,Linn,Jennifer Meckley,3962,5%,15,18%,94%,15%,17,228,150,12,0,1,0,74%,59%,Decrease,3%,62%,37%,Decrease,2%,40%,25%,Increase,7%,26%,86%,Increase,4%,84%,79%,Increase,2%,81%,85%,Increase,1%,87%
2097,Lincoln County SD,Lincoln,Majalise Tolan,5058,14%,30,16%,>95%,16%,32,317,86,13,1,5,1,66%,55%,Decrease,1%,62%,32%,Decrease,3%,40%,13%,Decrease,4%,26%,84%,Decrease,>11%,84%,86%,Increase,28%,81%,80%,Decrease,2%,87%
2012,Long Creek SD 17,Grant,Larry Glaze,23,*,1,*,>95%,42%,<1,5,<1,0,0,0,0,100%,48%,Increase,12%,62%,*,Unavailable,,40%,*,Unavailable,,26%,*,Unavailable,,84%,67%,Decrease,16%,81%,83%,Decrease,17%,87%
2092,Lowell SD 71,Lane,Scott Yakovich,1051,<5%,5,12%,44%,18%,9,60,22,<1,0,0,0,59%,55%,No Change,,62%,38%,Decrease,3%,40%,19%,Decrease,2%,26%,87%,Increase,1%,84%,81%,Decrease,5%,81%,90%,Decrease,5%,87%
2085,Mapleton SD 32,Lane,Sue Wilson,140,*,3,19%,>95%,22%,2,14,8,0,0,0,0,69%,57%,Increase,18%,62%,*,Unavailable,,40%,*,Unavailable,,26%,>95%,Increase,>45%,84%,46%,Decrease,7%,81%,63%,Decrease,27%,87%
2094,Marcola SD 79J,Lane,Terry Augustadt,855,*,1,12%,15%,13%,6,37,14,1,0,0,0,94%,84%,Increase,7%,62%,42%,Decrease,8%,40%,11%,Decrease,18%,26%,87%,Increase,13%,84%,63%,Decrease,8%,81%,73%,Decrease,9%,87%
2090,McKenzie SD 68,Lane,Nathaniel Tompkins,174,*,1,22%,94%,18%,2,18,9,0,0,0,0,76%,74%,Increase,14%,62%,57%,Increase,10%,40%,*,Unavailable,,26%,85%,Increase,14%,84%,55%,Decrease,14%,81%,77%,Decrease,17%,87%
2256,McMinnville SD 40,Yamhill,Debbie Brockett,6365,29%,16,15%,81%,12%,19,387,187,16,3,4,0,90%,63%,Decrease,5%,62%,37%,Decrease,4%,40%,43%,Decrease,1%,26%,86%,Decrease,3%,84%,93%,No Change,,81%,96%,Increase,1%,87%
2048,Medford SD 549C,Jackson,Bret Champion,13565,15%,52,17%,>95%,17%,72,728,269,27,0,5,0,80%,64%,Increase,1%,62%,36%,Decrease,2%,40%,24%,Decrease,3%,26%,78%,Increase,3%,84%,87%,Increase,5%,81%,89%,Increase,2%,87%
2205,Milton-Freewater Unified SD 7,Umatilla,Aaron Duff,1513,46%,8,17%,>95%,16%,10,104,59,1,1,1,0,76%,62%,Increase,8%,62%,29%,Increase,9%,40%,16%,Increase,1%,26%,89%,Increase,12%,84%,84%,Increase,9%,81%,78%,Decrease,10%,87%
2249,Mitchell SD 55,Wheeler,Vince Swagerty,1309,8%,20,16%,74%,51%,5,54,0,1,0,0,0,39%,48%,Decrease,5%,62%,35%,Decrease,3%,40%,22%,Increase,3%,26%,40%,Increase,5%,84%,47%,Increase,7%,81%,57%,Increase,8%,87%
1925,Molalla River SD 35,Clackamas,Tony Mann,2501,14%,21,17%,36%,15%,13,141,45,7,2,1,0,77%,57%,Decrease,6%,62%,41%,Increase,4%,40%,22%,Increase,3%,26%,73%,Decrease,3%,84%,80%,Decrease,7%,81%,90%,Decrease,4%,87%
1898,Monroe SD 1J,Benton,Bill Crowson,388,16%,3,14%,32%,13%,3,29,8,2,0,<1,0,75%,58%,Decrease,3%,62%,29%,Decrease,50%,40%,<5%,Decrease,>19%,26%,>95%,No Change,,84%,85%,Increase,1%,81%,90%,No Change,,87%
2010,Monument SD 8,Grant,Laura Thomas,65,*,2,15%,28%,*,1,7,2,0,0,0,0,88%,52%,Increase,10%,62%,*,Unavailable,,40%,*,Unavailable,,26%,*,Unavailable,,84%,100%,No Change,,81%,100%,No Change,,87%
2147,Morrow SD 1,Morrow,Matt Combe,2279,43%,7,17%,>95%,16%,13,146,73,7,0,1,0,64%,67%,Increase,10%,62%,27%,Decrease,2%,40%,17%,Increase,4%,26%,92%,Increase,1%,84%,96%,No Change,,81%,98%,Decrease,1%,87%
2145,Mt Angel SD 91,Marion,Rachel Stucky,665,30%,6,15%,54%,13%,5,38,10,1,0,0,0,91%,62%,Decrease,3%,62%,31%,Decrease,8%,40%,32%,Increase,7%,26%,91%,Increase,7%,84%,82%,Increase,5%,81%,84%,Decrease,1%,87%
1968,Myrtle Point SD 41,Coos,Allyson Backman,523,<5%,2,17%,>95%,16%,4,34,12,1,0,0,0,69%,57%,Decrease,4%,62%,46%,Increase,14%,40%,<5%,Decrease,>2%,26%,83%,No Change,,84%,69%,Decrease,25%,81%,94%,Increase,4%,87%
2198,Neah-Kah-Nie SD 56,Tillamook,Tyler Reed,700,7%,6,16%,43%,13%,6,54,36,5,1,1,0,82%,56%,Increase,6%,62%,42%,Decrease,3%,40%,28%,Increase,1%,26%,86%,Increase,13%,84%,78%,Decrease,8%,81%,87%,Decrease,4%,87%
2199,Nestucca Valley SD 101J,Tillamook,Misty Wharton,509,15%,2,12%,>95%,13%,3,32,13,2,0,0,0,76%,59%,Increase,11%,62%,37%,Increase,12%,40%,<5%,Decrease,>8%,26%,88%,Decrease,3%,84%,95%,Increase,17%,81%,86%,Decrease,9%,87%
2254,Newberg SD 29J,Yamhill,Stephen Phillips,4139,16%,43,16%,44%,10%,18,232,82,15,<1,<1,0,76%,64%,Decrease,7%,62%,51%,Decrease,1%,40%,40%,Increase,5%,26%,79%,Increase,5%,84%,83%,Decrease,4%,81%,90%,Increase,1%,87%
1966,North Bend SD 13,Coos,Kevin Bogatin,3309,<5%,21,17%,58%,17%,13,187,58,7,1,2,1,81%,55%,Decrease,1%,62%,45%,Decrease,1%,40%,22%,Increase,3%,26%,66%,Increase,4%,84%,68%,Increase,7%,81%,73%,Increase,6%,87%
1924,North Clackamas SD 12,Clackamas,Shay James,16545,23%,77,18%,39%,11%,60,869,268,41,5,12,0,79%,64%,Decrease,6%,62%,43%,No Change,,40%,31%,Increase,7%,26%,89%,Increase,2%,84%,86%,Decrease,2%,81%,91%,Increase,2%,87%
1996,North Douglas SD 22,Douglas,Jody Cyr,339,*,4,22%,>95%,12%,3,26,10,<1,0,<1,0,69%,62%,Increase,10%,62%,46%,Increase,13%,40%,7%,Decrease,17%,26%,48%,Decrease,19%,84%,83%,Increase,10%,81%,73%,Decrease,19%,87%
2061,North Lake SD 14,Lake,Gail Buermann,218,*,2,27%,>95%,22%,3,19,9,<1,0,0,<1,84%,50%,Increase,8%,62%,33%,Decrease,2%,40%,22%,Increase,8%,26%,90%,Increase,27%,84%,84%,Increase,1%,81%,96%,Decrease,4%,87%
2141,North Marion SD 15,Marion,Ginger Redlinger,1644,41%,11,18%,57%,11%,11,97,33,5,0,3,0,76%,57%,Increase,3%,62%,32%,Increase,6%,40%,20%,Increase,6%,26%,84%,Increase,11%,84%,81%,Increase,1%,81%,85%,No Change,,87%
2214,North Powder SD 8J,Union,Lance Dixon,265,8%,3,17%,>95%,9%,2,22,3,1,0,0,0,83%,81%,Increase,9%,62%,41%,Increase,9%,40%,38%,Increase,3%,26%,92%,Decrease,1%,84%,95%,Increase,15%,81%,90%,Decrease,10%,87%
2143,North Santiam SD 29J,Marion,Lee Loving,2099,12%,14,17%,49%,14%,11,130,44,4,0,0,0,70%,55%,Decrease,5%,62%,31%,Decrease,9%,40%,22%,Increase,4%,26%,78%,Decrease,4%,84%,82%,Decrease,3%,81%,92%,Decrease,1%,87%
4131,North Wasco County SD 21,Wasco,Carolyn Bernal,2738,27%,15,17%,>95%,17%,11,177,61,9,0,1,0,71%,58%,Increase,2%,62%,29%,Increase,3%,40%,14%,No Change,,26%,75%,Decrease,6%,84%,68%,Increase,1%,81%,73%,Decrease,16%,87%
2110,Nyssa SD 26,Malheur,Darren Johnson,1329,40%,5,12%,87%,13%,8,80,31,3,0,0,0,79%,75%,Increase,8%,62%,38%,Increase,9%,40%,24%,Decrease,2%,26%,84%,Increase,1%,84%,80%,Decrease,8%,81%,91%,Increase,9%,87%
1990,Oakland SD 1,Douglas,Jeff Clark,625,*,4,20%,64%,16%,4,40,11,3,0,<1,0,51%,72%,Increase,3%,62%,28%,Decrease,15%,40%,33%,Increase,5%,26%,>95%,No Change,,84%,93%,Decrease,5%,81%,100%,No Change,,87%
2093,Oakridge SD 76,Lane,Dave McGrath,489,*,2,18%,>95%,19%,3,36,9,2,0,0,0,50%,50%,Increase,2%,62%,21%,Increase,2%,40%,5%,No Change,,26%,79%,Increase,32%,84%,53%,Decrease,21%,81%,85%,Increase,4%,87%
3477,ODE YCEP District,Marion,,234,15%,8,49%,>95%,68%,5,35,10,0,0,0,0,81%,>95%,No Change,,62%,*,Unavailable,,,*,Unavailable,,,*,Unavailable,,84%,38%,Increase,7%,81%,74%,Increase,1%,87%
2108,Ontario SD 8C,Malheur,Nicole Albisu,2212,16%,17,17%,>95%,18%,15,137,63,7,0,0,0,57%,77%,Increase,4%,62%,29%,Increase,3%,40%,9%,Decrease,17%,26%,78%,Decrease,13%,84%,90%,Increase,3%,81%,89%,Decrease,1%,87%
1928,Oregon City SD 62,Clackamas,Dayle Spitzer,7191,9%,53,16%,30%,12%,29,367,128,20,0,8,1,82%,59%,Decrease,5%,62%,32%,Decrease,6%,40%,17%,Decrease,2%,26%,84%,Increase,2%,84%,87%,No Change,,81%,91%,Decrease,1%,87%
1926,Oregon Trail SD 46,Clackamas,Aaron Bayer,4282,11%,33,14%,36%,10%,17,202,60,11,2,2,0,76%,61%,Decrease,3%,62%,53%,Increase,4%,40%,34%,Decrease,5%,26%,87%,Increase,4%,84%,84%,Decrease,4%,81%,92%,Increase,1%,87%
2060,Paisley SD 11,Lake,Paul Hauder,206,*,1,15%,14%,22%,2,12,2,<1,0,0,<1,89%,90%,Decrease,2%,62%,30%,Unavailable,,40%,*,Unavailable,,26%,*,Unavailable,,84%,100%,Increase,14%,81%,86%,Decrease,14%,87%
2181,Parkrose SD 3,Multnomah,Michael Lopes-Serrao,2770,34%,44,14%,88%,16%,12,153,40,8,1,2,0,78%,54%,Increase,2%,62%,29%,No Change,,40%,13%,Decrease,1%,26%,86%,Increase,1%,84%,69%,Decrease,4%,81%,83%,Increase,1%,87%
2207,Pendleton SD 16,Umatilla,Kevin Headings,2844,7%,16,16%,41%,14%,13,164,77,13,<1,<1,1,74%,58%,Decrease,1%,62%,30%,No Change,,40%,23%,Increase,2%,26%,79%,Increase,3%,84%,82%,Increase,6%,81%,82%,Decrease,3%,87%
2192,Perrydale SD 21,Polk,Dan Dugan,315,*,2,12%,43%,8%,3,18,2,0,0,0,0,72%,75%,Decrease,5%,62%,20%,Decrease,12%,40%,20%,Increase,5%,26%,91%,Decrease,>4%,84%,96%,Decrease,4%,81%,100%,No Change,,87%
1900,Philomath SD 17J,Benton,Susan Halliday,1585,<5%,10,14%,31%,14%,12,101,45,6,1,<1,0,85%,63%,Decrease,6%,62%,54%,Increase,4%,40%,36%,Increase,3%,26%,85%,Decrease,6%,84%,78%,Decrease,12%,81%,95%,Decrease,1%,87%
2039,Phoenix-Talent SD 4,Jackson,Brent Barry,2240,24%,13,17%,>95%,19%,13,135,84,4,0,0,0,80%,66%,Decrease,10%,62%,30%,Increase,2%,40%,23%,Increase,11%,26%,78%,Decrease,13%,84%,90%,Decrease,2%,81%,96%,Increase,6%,87%
2202,Pilot Rock SD 2,Umatilla,Troy Jerome,291,*,3,16%,>95%,15%,2,16,10,0,0,0,0,94%,64%,Decrease,1%,62%,32%,Increase,15%,40%,23%,Increase,10%,26%,>95%,Increase,>5%,84%,96%,Increase,13%,81%,89%,Increase,1%,87%
2016,Pine Creek SD 5,Harney,Shannon Criss,3,*,1,*,*,*,0,1,0,0,0,0,0,100%,*,Unavailable,,62%,*,Unavailable,,40%,*,Unavailable,,26%,*,Unavailable,,84%,*,Unavailable,,81%,*,Unavailable,,87%
1897,Pine Eagle SD 61,Baker,Cammie deCastro,185,*,2,22%,62%,11%,1,18,7,<1,0,0,0,67%,78%,Increase,17%,62%,57%,Increase,17%,40%,27%,Increase,14%,26%,>95%,Increase,>4%,84%,85%,Decrease,9%,81%,100%,Increase,11%,87%
2047,Pinehurst SD 94,Jackson,Victoria Cutler,13,*,2,*,*,*,0,2,1,0,0,0,0,0%,46%,Decrease,37%,62%,*,Unavailable,,40%,*,Unavailable,,26%,*,Unavailable,,84%,100%,Unavailable,,81%,*,Unavailable,,87%
2081,Pleasant Hill SD 1,Lane,Jim Crist,975,*,4,16%,36%,9%,5,56,21,3,0,0,0,74%,62%,Decrease,7%,62%,43%,Decrease,5%,40%,<5%,Decrease,>11%,26%,>95%,No Change,,84%,88%,No Change,,81%,92%,Increase,2%,87%
2062,Plush SD 18,Lake,Lane Stratton,7,*,2,*,*,*,0,1,2,<1,0,0,<1,100%,*,Unavailable,,62%,*,Unavailable,,40%,*,Unavailable,,26%,*,Unavailable,,84%,*,Unavailable,,81%,*,Unavailable,,87%
1973,Port Orford-Langlois SD 2CJ,Curry,Steven Perkins,217,*,1,15%,>95%,19%,2,16,6,1,0,0,0,80%,69%,Decrease,3%,62%,27%,Increase,7%,40%,53%,Increase,39%,26%,*,Unavailable,,84%,77%,Decrease,14%,81%,91%,Decrease,2%,87%
2180,Portland SD 1J,Multnomah,Guadalupe Guerrero,44185,15%,133,18%,56%,12%,204,2726,677,166,66,54,52,78%,64%,Decrease,3%,62%,56%,No Change,,40%,41%,Increase,3%,26%,91%,Increase,1%,84%,86%,Increase,2%,81%,90%,No Change,,87%
1967,Powers SD 31,Coos,Matthew Shorb,122,*,1,16%,12%,20%,1,14,7,0,0,0,0,88%,70%,Increase,4%,62%,*,Unavailable,,40%,8%,Unavailable,,26%,*,Unavailable,,84%,100%,Increase,50%,81%,83%,Increase,3%,87%
2009,Prairie City SD 4,Grant,Casey Hallgarth,1347,5%,20,17%,42%,48%,5,48,14,4,0,1,0,68%,48%,Decrease,36%,62%,47%,Decrease,4%,40%,30%,Increase,8%,26%,60%,Decrease,6%,84%,74%,Decrease,20%,81%,83%,Decrease,17%,87%
2045,Prospect SD 59,Jackson,Daye Stone,230,*,1,17%,>95%,19%,2,18,7,<1,0,0,0,71%,51%,Increase,3%,62%,*,Unavailable,,40%,5%,No Change,,26%,92%,Increase,4%,84%,41%,Decrease,23%,81%,76%,Decrease,2%,87%
1946,Rainier SD 13,Columbia,Joseph Hattrick,845,<5%,7,18%,52%,15%,6,42,15,2,0,0,0,63%,48%,Decrease,7%,62%,25%,Increase,7%,40%,15%,No Change,,26%,69%,Increase,8%,84%,89%,Increase,29%,81%,67%,Decrease,21%,87%
1977,Redmond SD 2J,Deschutes,Charan Cline,6918,13%,24,13%,62%,14%,31,382,130,29,1,7,1,83%,61%,No Change,,62%,48%,Increase,1%,40%,29%,No Change,,26%,87%,Increase,9%,84%,88%,Increase,3%,81%,88%,Decrease,3%,87%
2001,Reedsport SD 105,Douglas,Jon Zwemke,574,<5%,3,20%,>95%,21%,3,35,22,1,0,1,0,63%,56%,Increase,3%,62%,10%,Decrease,1%,40%,<5%,Decrease,>2%,26%,68%,Increase,5%,84%,64%,Decrease,11%,81%,77%,Decrease,6%,87%
2182,Reynolds SD 7,Multnomah,Frank Caropelo,9599,45%,98,17%,>95%,19%,46,582,148,33,5,8,6,74%,49%,No Change,,62%,20%,Increase,1%,40%,9%,Decrease,2%,26%,61%,Decrease,4%,84%,62%,Increase,5%,81%,68%,Decrease,5%,87%
1999,Riddle SD 70,Douglas,Dave Gianotti,341,*,2,26%,>95%,19%,3,27,8,0,0,0,0,71%,61%,Increase,2%,62%,25%,Decrease,8%,40%,*,Unavailable,,26%,70%,Decrease,9%,84%,86%,Increase,28%,81%,65%,Decrease,14%,87%
2188,Riverdale SD 51J,Multnomah,Chris Russo,592,*,12,13%,*,6%,3,41,6,2,2,0,1,79%,74%,Decrease,6%,62%,67%,Decrease,20%,40%,64%,Decrease,6%,26%,83%,Decrease,11%,84%,84%,Decrease,10%,81%,94%,Increase,4%,87%
2044,Rogue River SD 35,Jackson,Patrick Lee,1077,*,3,15%,91%,24%,8,63,27,1,0,0,0,63%,57%,Decrease,4%,62%,27%,Decrease,8%,40%,18%,Increase,5%,26%,83%,Increase,17%,84%,71%,Increase,3%,81%,75%,Decrease,7%,87%
2142,Salem-Keizer SD 24J,Marion,Andrea Castañeda,38489,34%,112,18%,>95%,14%,120,2112,1128,118,8,13,0,74%,52%,Decrease,1%,62%,25%,Decrease,1%,40%,20%,Decrease,1%,26%,82%,Increase,4%,84%,80%,Decrease,1%,81%,86%,Decrease,1%,87%
2104,Santiam Canyon SD 129J,Linn,Todd Miller,2968,6%,21,20%,54%,32%,12,169,26,13,0,1,0,87%,66%,Increase,5%,62%,42%,Increase,5%,40%,26%,Decrease,2%,26%,68%,Decrease,1%,84%,55%,Decrease,1%,81%,67%,Decrease,4%,87%
1944,Scappoose SD 1J,Columbia,Timothy Porter,2205,5%,14,17%,29%,9%,11,124,45,7,1,2,0,72%,69%,Decrease,1%,62%,66%,Increase,13%,40%,24%,Decrease,8%,26%,92%,Decrease,2%,84%,92%,Increase,5%,81%,92%,Decrease,3%,87%
2103,Scio SD 95,Linn,Steve Martinelli,1736,<5%,11,16%,36%,26%,9,84,18,4,0,1,0,73%,59%,Decrease,12%,62%,62%,Increase,12%,40%,36%,Increase,8%,26%,81%,Increase,1%,84%,73%,Decrease,7%,81%,82%,Decrease,3%,87%
1935,Seaside SD 10,Clatsop,Susan Penrod,1457,22%,13,15%,60%,13%,9,104,42,5,0,1,0,64%,54%,Decrease,5%,62%,46%,Increase,14%,40%,17%,Increase,9%,26%,79%,No Change,,84%,92%,Increase,15%,81%,81%,Decrease,5%,87%
2257,Sheridan SD 48J,Yamhill,Dorie Vickery,963,<5%,7,14%,74%,25%,6,52,11,3,0,0,0,73%,64%,Increase,10%,62%,25%,Increase,9%,40%,23%,Increase,16%,26%,59%,Decrease,18%,84%,78%,Decrease,2%,81%,85%,Increase,7%,87%
2195,Sherman County SD,Sherman,Julia Fall,269,6%,2,17%,35%,13%,2,22,6,<1,0,0,1,73%,63%,Increase,8%,62%,39%,Decrease,17%,40%,13%,Decrease,8%,26%,94%,Increase,10%,84%,88%,Decrease,4%,81%,92%,Decrease,4%,87%
2244,Sherwood SD 88J,Washington,Jeremy Lyons,4852,7%,54,12%,16%,7%,17,249,86,13,0,4,0,86%,73%,Decrease,4%,62%,62%,Increase,3%,40%,46%,No Change,,26%,94%,No Change,,84%,94%,Decrease,3%,81%,99%,Increase,1%,87%
2138,Silver Falls SD 4J,Marion,Scott Drue,3658,12%,15,15%,28%,7%,17,211,112,11,2,1,6,83%,66%,Decrease,3%,62%,50%,No Change,,40%,39%,Increase,5%,26%,>95%,No Change,,84%,89%,Decrease,4%,81%,96%,No Change,,87%
1978,Sisters SD 6,Deschutes,Curtiss Scholl,1165,5%,6,14%,18%,9%,5,76,17,4,0,0,0,83%,71%,Decrease,4%,62%,52%,Decrease,12%,40%,30%,Increase,1%,26%,>95%,No Change,,84%,90%,Decrease,4%,81%,94%,Decrease,1%,87%
2096,Siuslaw SD 97J,Lane,Andy Grzeskowiak,1211,6%,9,17%,>95%,15%,8,92,34,8,1,0,0,71%,67%,Increase,4%,62%,25%,Decrease,2%,40%,8%,Decrease,9%,26%,93%,Increase,6%,84%,69%,Increase,3%,81%,82%,Decrease,10%,87%
2022,South Harney SD 33,Harney,Shannon Criss,6,*,1,*,*,*,0,2,1,0,0,0,0,100%,*,Unavailable,,62%,*,Unavailable,,40%,*,Unavailable,,26%,*,Unavailable,,84%,*,Unavailable,,81%,*,Unavailable,,87%
