District ID,District Name,County,Superintendent,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Mobile Students,Administrators,Teachers,Educational Assistants,Counselors,Licensed Librarians,Psychologists,Social Workers,Experienced Teachers,Regular Attenders,Regular Attenders Change from Last Year,Regular Attenders Change Value,Oregon Regular Attenders Average,Grade 3 ELA,Grade 3 ELA Change from Last Year,Grade 3 ELA Change Value,Oregon Grade 3 ELA Average,Grade 8 Mathematics,Grade 8 Mathematics Change from Last Year,Grade 8 Mathematics Change Value,Oregon Grade 8 Math Average,On-Track to Graduate,On-Track to Graduate Change from Last Year,On-Track to Graduate Change Value,Oregon On-Track to Graduate Average,On-Time Graduation 2021-22,On-Time Graduation Change from Last Year,On-Time Graduation Change Value,Oregon On-Time Graduation 2021-22 Average,Five-Year Completion 2021-22,Five-Year Completion Change from Last Year,Five-Year Completion Change Value,Oregon Five-Year Completion 2021-22 Average
1974,Brookings-Harbor SD 17C,Curry,Helena Chirinian,1351,<5%,11,18%,80%,15%,8,77,26,4,0,1,0,63%,62%,Increase,2%,62%,31%,Decrease,3%,40%,<5%,Decrease,>3%,26%,77%,Increase,14%,84%,80%,Increase,2%,81%,79%,Decrease,7%,87%
1896,Burnt River SD 30J,Baker,Cassie Moore,26,*,7,*,62%,*,<1,4,0,0,0,0,0,80%,67%,Increase,23%,62%,*,Unavailable,,40%,*,Unavailable,,26%,*,Unavailable,,84%,100%,Increase,29%,81%,86%,Decrease,14%,87%
2046,Butte Falls SD 91,Jackson,Phil Long,176,*,1,32%,>95%,24%,2,16,6,0,0,0,0,87%,55%,No Change,,62%,*,Unavailable,,40%,8%,Unavailable,,26%,80%,Increase,5%,84%,56%,Decrease,8%,81%,67%,Decrease,27%,87%
1995,Camas Valley SD 21J,Douglas,Don Wonsley,211,*,2,16%,48%,14%,2,20,7,0,0,<1,0,65%,67%,Increase,10%,62%,25%,Decrease,2%,40%,21%,Decrease,11%,26%,>95%,Increase,>6%,84%,70%,Decrease,9%,81%,93%,Increase,24%,87%
1929,Canby SD 86,Clackamas,Aaron Downs,4143,25%,24,15%,38%,9%,15,244,86,11,1,5,1,82%,61%,Decrease,5%,62%,37%,Decrease,2%,40%,29%,Increase,2%,26%,87%,Decrease,1%,84%,82%,Increase,2%,81%,87%,Decrease,6%,87%
2139,Cascade SD 5,Marion,Darin Drill,2648,9%,11,16%,60%,11%,15,144,62,9,1,0,3,78%,66%,Decrease,5%,62%,47%,Decrease,3%,40%,23%,Increase,7%,26%,89%,Decrease,1%,84%,82%,Decrease,2%,81%,87%,Decrease,3%,87%
2185,Centennial SD 28J,Multnomah,James Owens,5431,42%,64,14%,>95%,17%,21,273,81,16,<1,7,3,41%,54%,Decrease,2%,62%,29%,Increase,1%,40%,18%,Decrease,6%,26%,76%,Increase,3%,84%,73%,Decrease,1%,81%,78%,Decrease,6%,87%
1972,Central Curry SD 1,Curry,Eric Milburn,416,*,3,11%,>95%,16%,3,28,10,2,0,0,0,60%,65%,Increase,10%,62%,25%,Decrease,21%,40%,17%,Decrease,2%,26%,>95%,Increase,>13%,84%,76%,Decrease,1%,81%,81%,Decrease,5%,87%
2105,Central Linn SD 552,Linn,Candace Pelt,541,6%,4,17%,51%,16%,1,32,3,1,0,<1,0,81%,53%,Decrease,6%,62%,32%,Increase,3%,40%,12%,Increase,1%,26%,73%,Decrease,7%,84%,74%,Decrease,9%,81%,91%,Increase,22%,87%
2042,Central Point SD 6,Jackson,Walt Davenport,4713,8%,13,16%,81%,13%,18,197,133,4,0,4,0,77%,64%,Decrease,1%,62%,24%,Decrease,3%,40%,15%,Decrease,4%,26%,79%,Increase,8%,84%,79%,Increase,1%,81%,86%,Increase,1%,87%
