District ID,District Name,County,Superintendent,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Mobile Students,Administrators,Teachers,Educational Assistants,Counselors,Licensed Librarians,Psychologists,Experienced Teachers,K-2 Regular Attenders,Oregon K-2 Regular Attenders Average,Grade 3 ELA,Oregon Grade 3 ELA Average,Grade 8 Mathematics,Oregon Grade 8 Math Average,On-Track to Graduate,Oregon On-Track to Graduate Average,On-Time Graduation 2020-21,Oregon On-Time Graduation 2020-21 Average
1973,Port Orford-Langlois SD 2CJ,Curry,Steven Perkins,210,*,3,12%,>95%,20%,2,16,5,1,0,0,75%,61%,65%,20%,40%,14%,27%,91%,83%,91%,81%
2180,Portland SD 1J,Multnomah,Guadalupe Guerrero,44393,14%,103,17%,>95%,15%,210,2767,654,170,64,55,81%,71%,65%,56%,40%,38%,27%,90%,83%,84%,81%
1967,Powers SD 31,Coos,Matthew Shorb,115,*,1,15%,70%,23%,1,13,8,0,0,0,75%,52%,65%,*,40%,*,27%,91%,83%,50%,81%
2009,Prairie City SD 4,Grant,Casey Hallgarth,1236,<5%,6,13%,41%,64%,4,51,12,1,0,0,58%,84%,65%,51%,40%,22%,27%,66%,83%,94%,81%
2045,Prospect SD 59,Jackson,Daye Stone,218,*,1,19%,89%,24%,2,16,4,0,0,0,67%,67%,65%,20%,40%,5%,27%,88%,83%,64%,81%
1946,Rainier SD 13,Columbia,Joseph Hattrick,794,<5%,11,19%,38%,23%,4,48,18,2,0,<1,66%,52%,65%,18%,40%,15%,27%,61%,83%,60%,81%
1977,Redmond SD 2J,Deschutes,Charan Cline,6837,12%,23,13%,88%,17%,25,375,117,28,<1,7,81%,65%,65%,47%,40%,29%,27%,78%,83%,85%,81%
2001,Reedsport SD 105,Douglas,Jon Zwemke,609,<5%,3,19%,>95%,22%,3,37,24,0,0,1,62%,35%,65%,11%,40%,7%,27%,63%,83%,75%,81%
2182,Reynolds SD 7,Multnomah,Danna Diaz,9604,46%,90,16%,91%,21%,44,576,106,30,3,11,80%,50%,65%,19%,40%,11%,27%,65%,83%,57%,81%
1999,Riddle SD 70,Douglas,Dave Gianotti,341,*,2,19%,55%,16%,2,23,8,0,0,0,78%,59%,65%,33%,40%,*,27%,79%,83%,58%,81%
2188,Riverdale SD 51J,Multnomah,Chris Russo,572,*,15,11%,*,8%,3,39,5,3,1,0,66%,80%,65%,87%,40%,70%,27%,94%,83%,94%,81%
2044,Rogue River SD 35,Jackson,Patrick Lee,1010,*,4,15%,>95%,30%,8,63,31,0,0,0,63%,54%,65%,35%,40%,13%,27%,66%,83%,68%,81%
2142,Salem-Keizer SD 24J,Marion,Christy Perry,38720,34%,99,17%,>95%,15%,118,2068,1052,116,7,12,75%,50%,65%,26%,40%,21%,27%,78%,83%,81%,81%
2104,Santiam Canyon SD 129J,Linn,Todd Miller,3298,6%,24,18%,41%,31%,13,209,21,17,0,1,81%,67%,65%,37%,40%,28%,27%,69%,83%,56%,81%
1944,Scappoose SD 1J,Columbia,Timothy Porter,2182,<5%,12,16%,24%,14%,12,128,40,6,<1,2,79%,73%,65%,53%,40%,32%,27%,94%,83%,87%,81%
2103,Scio SD 95,Linn,Steve Martinelli,2038,<5%,12,15%,54%,34%,10,100,17,5,0,5,76%,76%,65%,50%,40%,28%,27%,80%,83%,80%,81%
1935,Seaside SD 10,Clatsop,Susan Penrod,1462,21%,10,15%,59%,16%,9,101,43,6,0,1,62%,54%,65%,32%,40%,8%,27%,79%,83%,77%,81%
2257,Sheridan SD 48J,Yamhill,Dorie Vickery,904,5%,7,15%,82%,25%,7,65,13,3,0,0,69%,36%,65%,16%,40%,7%,27%,77%,83%,80%,81%
2195,Sherman County SD,Sherman,Wes Owens,257,5%,2,19%,>95%,11%,1,21,5,0,0,0,82%,53%,65%,56%,40%,21%,27%,84%,83%,92%,81%
2244,Sherwood SD 88J,Washington,Jeremy Lyons,4868,7%,53,11%,11%,7%,17,255,83,13,0,3,89%,78%,65%,59%,40%,46%,27%,94%,83%,97%,81%
2138,Silver Falls SD 4J,Marion,Scott Drue,3530,12%,15,15%,95%,11%,17,204,100,9,2,1,87%,68%,65%,50%,40%,34%,27%,95%,83%,93%,81%
1978,Sisters SD 6,Deschutes,Curtiss Scholl,1115,5%,6,13%,24%,12%,6,73,16,4,0,<1,83%,72%,65%,64%,40%,29%,27%,>95%,83%,94%,81%
2096,Siuslaw SD 97J,Lane,Andy Grzeskowiak,1180,5%,7,15%,>95%,16%,8,86,26,6,1,0,67%,61%,65%,27%,40%,17%,27%,87%,83%,66%,81%
2022,South Harney SD 33,Harney,Stacey Moser,8,*,1,*,*,*,0,2,<1,0,0,0,100%,*,65%,*,40%,*,27%,*,83%,*,81%
2087,South Lane SD 45J3,Lane,Yvonne Curtis,2709,7%,6,19%,40%,20%,18,162,64,5,0,2,73%,74%,65%,31%,40%,24%,27%,80%,83%,69%,81%
1994,South Umpqua SD 19,Douglas,Kate McLaughlin,1429,<5%,4,18%,>95%,21%,8,89,34,2,0,0,59%,57%,65%,20%,40%,21%,27%,93%,83%,69%,81%
2225,South Wasco County SD 1,Wasco,Ryan Wraught,216,8%,2,19%,>95%,25%,2,15,5,1,0,0,81%,44%,65%,29%,40%,17%,27%,>95%,83%,91%,81%
2247,Spray SD 1,Wheeler,Glen Butler,65,*,7,*,>95%,*,<1,7,3,0,0,0,29%,91%,65%,*,40%,*,27%,*,83%,100%,81%
2083,Springfield SD 19,Lane,Todd Hamilton,9534,12%,38,18%,>95%,19%,49,525,262,12,<1,13,78%,62%,65%,36%,40%,19%,27%,75%,83%,75%,81%
1948,St Helens SD 502,Columbia,Scot Stockwell,2775,<5%,29,17%,33%,18%,12,157,48,8,3,2,81%,67%,65%,25%,40%,21%,27%,74%,83%,71%,81%
2144,St Paul SD 45,Marion,Joseph Wehrli,243,31%,2,7%,>95%,12%,2,23,3,1,0,0,73%,56%,65%,50%,40%,20%,27%,>95%,83%,96%,81%
2209,Stanfield SD 61,Umatilla,Beth Burton,519,26%,5,14%,>95%,11%,3,32,11,1,0,0,71%,75%,65%,50%,40%,<5%,27%,>95%,83%,92%,81%
2018,Suntex SD 10,Harney,Shannon Criss,4,*,*,*,*,*,0,1,<1,0,0,0,100%,*,65%,*,40%,*,27%,*,83%,*,81%
2003,Sutherlin SD 130,Douglas,Terry Prestianni,1329,<5%,32,18%,>95%,25%,7,81,33,5,0,0,71%,65%,65%,36%,40%,13%,27%,84%,83%,73%,81%
2102,Sweet Home SD 55,Linn,Terry Martin,2223,<5%,6,19%,94%,18%,12,123,68,4,0,<1,71%,68%,65%,32%,40%,27%,27%,85%,83%,82%,81%
2055,Three Rivers/Josephine County SD,Josephine,David Valenzuela,4425,<5%,24,14%,>95%,25%,29,238,170,7,0,0,74%,47%,65%,35%,40%,10%,27%,71%,83%,77%,81%
2242,Tigard-Tualatin SD 23J,Washington,Susan Rieke-Smith,11731,23%,74,12%,28%,13%,37,695,167,28,1,11,84%,68%,65%,47%,40%,29%,27%,90%,83%,88%,81%
2197,Tillamook SD 9,Tillamook,Curt Shelley,2096,15%,14,17%,56%,12%,9,139,63,6,0,2,59%,58%,65%,30%,40%,24%,27%,89%,83%,82%,81%
2222,Troy SD 54,Wallowa,Rebecca Nordtvedt,2,*,1,*,*,*,<1,1,0,0,0,0,100%,*,65%,*,40%,*,27%,*,83%,*,81%
2210,Ukiah SD 80R,Umatilla,Jim Reger,23,*,1,*,*,*,<1,5,<1,0,0,0,100%,*,65%,*,40%,*,27%,*,83%,100%,81%
2204,Umatilla SD 6R,Umatilla,Heidi Sipe,1357,54%,6,11%,>95%,20%,8,89,29,3,0,1,64%,61%,65%,14%,40%,11%,27%,87%,83%,81%,81%
2213,Union SD 5,Union,Carter Wells,333,*,2,11%,80%,19%,2,25,10,0,0,0,76%,61%,65%,54%,40%,7%,27%,83%,83%,94%,81%
2116,Vale SD 84,Malheur,Alisha McBride,857,13%,4,15%,>95%,12%,5,58,23,2,0,0,88%,66%,65%,43%,40%,53%,27%,94%,83%,97%,81%
1947,Vernonia SD 47J,Columbia,Jim Helmen,554,*,10,18%,49%,15%,5,34,19,2,0,<1,54%,44%,65%,26%,40%,<5%,27%,72%,83%,73%,81%
2220,Wallowa SD 12,Wallowa,Tamera Jones,196,*,2,17%,>95%,16%,2,20,1,0,0,0,78%,>95%,65%,53%,40%,18%,27%,86%,83%,90%,81%
1936,Warrenton-Hammond SD 30,Clatsop,Tom Rogozinski,996,9%,7,17%,62%,13%,9,60,23,3,0,0,72%,65%,65%,23%,40%,33%,27%,81%,83%,71%,81%
1922,West Linn-Wilsonville SD 3J,Clackamas,Kathy Ludwig,9087,8%,73,12%,>95%,8%,34,498,130,26,3,6,84%,75%,65%,56%,40%,40%,27%,83%,83%,95%,81%
2255,Willamina SD 30J,Yamhill,Carrie Zimbrick,852,<5%,2,21%,>95%,20%,5,52,23,0,0,0,83%,57%,65%,15%,40%,5%,27%,86%,83%,83%,81%
2002,Winston-Dillard SD 116,Douglas,Kimberly Kellison,1374,<5%,15,17%,>95%,22%,7,87,34,4,0,0,53%,54%,65%,26%,40%,7%,27%,66%,83%,66%,81%
2146,Woodburn SD 103,Marion,Joseph Morelock,5232,69%,27,14%,>95%,17%,21,297,106,14,7,5,76%,43%,65%,9%,40%,12%,27%,64%,83%,75%,81%
2251,Yamhill Carlton SD 1,Yamhill,Clint Raever,1016,<5%,14,14%,23%,15%,7,54,19,2,0,0,74%,79%,65%,41%,40%,11%,27%,93%,83%,81%,81%
1997,Yoncalla SD 32,Douglas,Brian Berry,253,*,2,18%,>95%,22%,3,21,12,0,0,0,68%,17%,65%,27%,40%,<5%,27%,87%,83%,78%,81%
